title,year,type,hasBackup,insertDTTM,viewSource
Alice in Borderland （season 1）,2020,電視,0,2020-12-23 00:00,Netflix
Romance Doll,2020,愛情,0,2020-12-24 00:00,Netflix
The Midnight Sky,2020,科幻,0,2020-12-24 00:00,Netflix
同床2夢,2012,情色,0,2020-12-13 00:00,hmvod
We Bare Bears （熊熊遇見你）,2020,動畫,0,2020-11-28 00:00,hmvod
角落小夥伴（劇場版）魔法繪本裡的新朋友,2019,動畫,0,2020-11-28 00:00,hmvod
Save Yourselves,2020,科幻,0,2020-12-14 00:00,hmvod
Greenland,2020,災難,0,2020-11-25 00:00,gimy
夜更,2020,紀錄,0,2020-11-23 00:00,Apple Daily
MILF,2018,喜劇,0,2020-11-23 00:00,Netflix
麥路人,2019,劇情,0,2020-11-20 00:00,gimy
Borat,2006,喜劇,0,2020-11-13 00:00,gimy
The Queen's Gambit,2020,電視,0,2020-10-25 00:00,Netflix
Tehran,2020,電視,0,2020-10-25 00:00,Apple TV+
Aladdin,2019,冒險,0,2020-10-16 00:00,hmvod
Scoob!,2020,動畫,0,2020-10-16 00:00,hmvod
The Incredible Story of the Giant Pear,2017,動畫,0,2020-10-16 00:00,hmvod
The Current War,2017,傳記,0,2020-10-15 00:00,gimy
The Reader,2008,劇情,0,2020-10-01 00:00,hmvod
Trolls World Tour,2020,動畫,0,2020-09-26 00:00,hmvod
The Professor and the Madman,2018,傳記,0,2020-09-22 00:00,hmvod
Challenger,2020,電視,0,2020-09-20 00:00,Netflix
Revenge Girl,2017,愛情,0,2020-09-20 00:00,hmvod
周秀娜3D法國蜜月之旅,2020,情色,0,2020-09-20 00:00,hmvod
Christopher Robin,2018,劇情,0,2020-09-20 00:00,hmvod
十年泰國,2018,劇情,0,2020-09-17 00:00,hmvod
十年台灣,2018,劇情,0,2020-09-17 00:00,hmvod
Goodbye Christopher Robin,2017,傳記,0,2020-09-09 00:00,hmvod
BioHackers（Season 1）,2020,電視,0,2020-09-06 00:00,Netflix
Away（Season 1）,2020,電視,0,2020-09-06 00:00,Netflix
毛俠,2018,劇情,0,2020-09-01 00:00,hmvod
12 Monkeys,1995,科幻,0,2020-08-16 00:00,Netflix
Time Trap,2017,科幻,0,2020-08-16 00:00,Netflix
Blade: Trinity,2004,科幻,0,2020-08-11 00:00,Netflix
Skyscraper,2018,災難,0,2020-08-06 00:00,Netflix
Terminator 6: Dark Fate,2019,科幻,0,2020-08-01 00:00,hmvod
Onward,2020,動畫,0,2020-08-01 00:00,hmvod
Mary Magdalene,2018,傳記,0,2020-07-26 00:00,hmvod
The Nutcracker and the Four Realms,2018,劇情,0,2020-07-25 00:00,hmvod
Hunter Killer,2018,戰爭,0,2020-07-25 00:00,hmvod
Blumhousr's Fantasy Island,2020,懸疑,0,2020-07-25 00:00,Netflix
The Invisible Man,2020,懸疑,0,2020-07-21 00:00,hmvod
Mon Ange（Angel）,2016,愛情,0,2020-07-20 00:00,hmvod
無雙,2018,懸疑,0,2020-07-17 00:00,hmvod
Wendy,2020,劇情,0,2020-07-14 00:00,hmvod
Back to the Future 3,1990,科幻,0,2020-07-13 00:00,hmvod
Back to the Future 2,1989,科幻,0,2020-07-13 00:00,hmvod
Back to the Future,1985,科幻,0,2020-07-13 00:00,hmvod
A Wrinkle in Time,2018,劇情,0,2020-07-12 00:00,hmvod
Dolittle,2020,魔幻,0,2020-07-12 00:00,hmvod
Smurfs: The Lost Village,2017,動畫,0,2020-07-12 00:00,hmvod
The Smurfs 2,2013,動畫,0,2020-07-12 00:00,hmvod
Greyhound,2020,戰爭,0,2020-07-12 00:00,Apple TV+
See,2019,電視,0,2020-07-12 00:00,Apple TV+
Japan Sinks 2020,2020,動畫,0,2020-07-11 00:00,Netflix
淪落人 （Still Human）,2018,劇情,0,2020-07-06 00:00,hmvod
家に帰ると妻が必ず死んだふりをしています （我老婆日日都扮死）,2018,愛情,0,2020-06-28 00:00,hmvod
Jurassic World 2: Fallen Kingdom,2018,科幻,0,2020-06-27 01:00,Netflix
Jurassic World,2015,科幻,1,2020-06-27 01:00,
Jurassic Park 3,2001,科幻,0,2020-06-27 01:00,
Jurassic Park 2: The Lost World,1997,科幻,0,1997-07-22 19:35,Cinema
Jurassic Park,1993,科幻,0,2020-06-27 01:00,
Spies in Disguise,2019,動畫,0,2020-06-19 00:00,hmvod
Space Force,2020,電視,0,2020-06-05 00:00,Netflix
Snowpiercer: TV Series （Season 1  2）,2020,電視,0,2020-06-05 00:00,Netflix
X-Men: Apocalypse,2016,動作,0,2020-06-05 00:00,Netflix
表姐，妳好嘢！４．情不自禁（Her Fatal Ways 4）,1994,喜劇,0,2020-06-04 00:00,hmvod
表姐，妳好嘢！３．之大人駕到（Her Fatal Ways III）,1992,喜劇,0,2020-06-04 00:00,hmvod
表姐，妳好嘢！２（Her Fatal Ways II）,1991,喜劇,0,2020-06-04 00:00,hmvod
表姐，妳好嘢！（Her Fatal Ways）,1990,喜劇,0,2020-06-04 00:00,hmvod
The Secret Life Of Pets 2,2016,動畫,0,2020-05-29 00:00,hmvod
Rampage,2018,動作,0,2020-05-18 00:00,hmvod
The Wrong Missy,2020,喜劇,0,2020-05-18 00:00,hmvod
Toy Story 4,2019,動畫,0,2020-05-10 00:00,hmvod
借りぐらしのアリエッティ (Arrietty),2010,動畫,0,2020-06-27 00:00,Netflix
哈爾移動城堡 (Howl's Moving Castle),2004,動畫,0,2020-04-04 00:00,Netflix
風之谷 (Nausicaä of the Valley of the Wind),1984,動畫,0,2020-03-28 00:00,Netflix
地海戰記 (Tales from Earthsea),2006,動畫,0,2020-03-08 00:00,Netflix
紅の豚（Porco Rosso）,1992,動畫,0,2020-03-08 00:00,Netflix
魔女の宅急便（Kiki's Delivery Service）,1989,動畫,0,2020-03-08 00:00,Netflix
天空之城（Castle in the Sky）,1986,動畫,0,2020-03-08 00:00,Netflix
龍貓（My Neighbor TOTORO）,1988,動畫,0,2020-03-08 00:00,Netflix
Shrek,2001,動畫,0,2020-04-04 00:00,Netflix
Shrek 2,2004,動畫,0,2020-04-04 00:00,Netflix
一飛沖天 History of Aviation,2020,電視,0,2020-05-01 00:00,RTHK
打天下,2020,電視,0,2020-05-01 00:00,ViuTV
教束,2019,電視,0,2020-05-01 00:00,ViuTV
理想國,2019,電視,0,2020-05-01 00:00,ViuTV
選戰,2014,電視,0,2020-05-01 00:00,HKTV
導火新聞線,2015,電視,0,2020-05-01 00:00,HKTV
天使の恋（出租天使）,2009,愛情,0,2020-04-28 00:00,hmvod
Dora and the Lost City of Gold,2019,冒險,0,2020-04-25 00:00,
Event Horizon,1997,科幻,0,2020-04-25 00:00,Netflix
Yesterday,2019,劇情,0,2020-04-18 00:00,
Justice League,2017,動作,0,2020-04-18 00:00,Netflix
Outlander（Season 1）,2016,電視,0,2020-04-18 00:00,Netflix
Jojo Rabbit,2019,劇情,0,2020-04-18 00:00,
Knives Out,2019,劇情,0,2020-03-27 00:00,
Joker,2019,劇情,0,2020-03-10 00:00,
Somewhere In Time,1980,科幻,0,2020-03-05 00:00,Netflix
二月廿九,2020,電視,0,2020-03-04 00:00,ViuTV
Parasite（기생충）,2019,劇情,0,2020-03-03 00:00,
Zathura: A Space Adventure,2005,冒險,0,2020-03-03 00:00,
Jumanji,1995,冒險,0,2020-03-03 00:00,
Jumanji: Welcome to the Jungle,2017,冒險,0,2020-03-03 00:00,
Jumanji: The Next Level,2019,冒險,0,2020-03-03 00:00,
Ragnarok（Season 1）,2020,電視,0,2020-02-08 00:00,
The Aeronauts,2019,劇情,0,2020-02-08 00:00,
彼岸之嫁（The Ghost Bride）（Season 1）,2020,電視,0,2020-01-30 00:00,Netflix
Dumbo,2019,劇情,0,2020-01-28 00:00,
Dunkirk,2017,戰爭,0,2020-01-28 00:00,
I Am Mother,2019,科幻,0,2020-01-28 00:00,Netflix
Men in Black 3,2019,動作,0,2020-01-28 00:00,Netflix
